Ano;Veículo;Título;Autores;Número;Volume;Local;Página Inicial;Página Final
2013;BWaH;Seamless transitional Graphical User Interface;2447378201037990,1750367399155058;24;;Johnsonland;266;465
2016;RaS;Diverse intangible capability;7043858660461973,4073227496418805,5327108447296812;11;;Theresaburgh;25;872
2014;HP;Configurable bottom-line methodology;7683234841793745;26;47;;831;864
2016;RL;Monitored demand-driven neural-net;7532796691578058,8293148607193232,1965133409445603;24;;Port Jeremy;489;767
2016;NL;Seamless well-modulated initiative;2680213629710193,7089503135500102;43;;South Michaelshire;72;518
2015;T;Networked discrete projection;8031324513185618,2348327453231091;23;13;;15;159
2016;PMaH;Cloned leadingedge capability;7532796691578058;39;37;;98;878
2014;RL;Automated well-modulated Local Area Network;9655811696159994;27;;New Kerryland;54;763
2015;WL;Seamless leadingedge portal;2137128760644423,5485081027172277;43;3;;196;789
2015;MI;Total cohesive paradigm;5262540415992174,4744077090897343,7532796691578058;14;;Port Martin;229;950
2015;AaS;Sharable encompassing moderator;2348327453231091,2904391767971119,7532796691578058;50;;Cookberg;534;615
2015;FI;Networked contextually-based groupware;7338126532305121,7186917466536994;31;7;;22;772
2016;H;Configurable value-added extranet;4478081765633457,6467024971475515,3227445512800622;6;;West Jessicabury;333;510
2013;RL;Down-sized motivating website;6832903342497770,6557680333178323,1376910945764891;48;;South Joseph;396;760
2014;HP;Future-proofed background projection;4993909389282629;41;15;;220;413
2016;P;Focused transitional extranet;2348327453231091,2275799333779168,1750367399155058;7;2;;308;947
2015;ML;Monitored non-volatile pricing structure;6832903342497770;10;30;;204;916
2015;HL;Focused homogeneous knowledge user;8041631349517756;47;23;;485;781
2014;RL;Multi-channeled motivating migration;2143271149416300;1;;Lake Johnstad;621;721
2015;ML;De-engineered user-facing infrastructure;9264876264363724,2618873884046651;48;15;;33;751
2015;N;Versatile reciprocal ability;9885156202210321,1135004726057093,2348327453231091;23;;Leonbury;396;538
2014;TG;Phased uniform toolset;2618873884046651,1750367399155058,2354218094325113;24;;East Johnburgh;432;613
2014;HaS;Triple-buffered national definition;1674773401625827,9821346348660847;27;5;;338;812
2016;G;Public-key foreground service-desk;3722297188543195;1;2;;82;848
2013;HBaF;Compatible discrete moderator;5649357631317748,9129638715325223,3998492042499790;24;;Joseport;134;925
2015;B;Organic directional groupware;5893293071812901;23;;Medinaland;152;996
2013;D;User-centric bottom-line open architecture;6832903342497770,2618873884046651,6268449287730388;48;4;;902;962
2014;HaS;Multi-channeled multimedia hub;1376910945764891;19;31;;455;939
2016;JHaP;Switchable 24/7 Internet solution;7186917466536994;15;39;;589;764
2015;RL;Diverse holistic methodology;7514631069021629;12;;North Donnaton;409;705
2014;BP;Front-line solution-oriented info-mediaries;1750367399155058;42;26;;348;828
2014;M;Versatile full-range extranet;9770465873129031,8041631349517756;21;26;;136;716
2016;ZG;Right-sized dedicated functionalities;2137128760644423,9722744349841064,8936625000762564;31;8;;366;754
2014;AHaM;Pre-emptive 24/7 circuit;6891679769008337,9611539741215920,9129638715325223;26;40;;217;350
2013;PMaH;Centralized intermediate service-desk;3144341430664049,1376910945764891,1582807585616034;13;41;;18;395
2015;BWaH;Multi-layered modular monitoring;6832903342497770,6413140277984870,9075225650777316;40;;New Kaylaborough;52;123
2014;ML;Advanced needs-based Graphic Interface;1750367399155058,5327108447296812;22;32;;451;985
2013;ZG;Total well-modulated superstructure;6268449287730388;43;19;;372;878
2014;MI;Organic neutral complexity;5485081027172277,8293148607193232;37;;Donaldville;379;435
2013;PI;Proactive bandwidth-monitored process improvement;8845454042159474,9838454792036006,4993909389282629;24;1;;182;289
2013;FI;Right-sized explicit throughput;6301301076316618,2629063971493209;40;48;;29;743
2014;G;Open-architected eco-centric Graphical User Interface;7412604949576097,2354218094325113,6337438064578677;34;17;;499;842
2015;B;Enterprise-wide maximized installation;1638745937944369,6328867226130339,6268449287730388;16;;New Ruthfort;287;297
2015;MP;Re-contextualized dynamic synergy;5239942509087044,1674773401625827,9264287531729077;40;31;;473;928
2015;BI;Virtual holistic time-frame;3722297188543195,7931231762362917,6891679769008337;45;;East Susan;32;848
2013;LI;Networked 24/7 synergy;2137128760644423,7159346387032080,2680213629710193;41;28;;505;852
2014;NaS;Seamless optimal productivity;7514631069021629;16;8;;100;311
2014;J;Integrated multimedia architecture;9821346348660847,2697688583917184;17;;Michaelfort;266;918
2015;D;Decentralized optimizing collaboration;1965133409445603,3998492042499790;35;12;;428;668
2015;MP;Triple-buffered contextually-based info-mediaries;9838454792036006;16;10;;16;707
2013;FSaG;Reactive web-enabled methodology;2637674440233374,8845454042159474;45;13;;938;945
2014;W;Programmable multi-state complexity;7683234841793745,7043858660461973,1376910945764891;10;;West Andrewhaven;266;923
2014;S;Re-contextualized global definition;2143271149416300,2348327453231091,1638745937944369;9;;Port Dwaynehaven;147;480
2014;SI;Devolved modular model;6301301076316618,1750367399155058;23;33;;702;838
2013;Z;Ameliorated 5thgeneration time-frame;4671743840601591,2137128760644423;30;;Wongport;141;356
2013;JHaP;Assimilated actuating array;8293148607193232,1582807585616034;39;39;;21;750
2013;AaS;User-friendly well-modulated core;8533292199274586;43;;Vanessamouth;194;756
2013;F;Decentralized tangible Local Area Network;3998492042499790,2637674440233374;29;;Caseyland;74;496
2016;NL;Multi-layered fresh-thinking algorithm;8293148607193232,7683234841793745,6268449287730388;43;;Port Ronald;35;454
2013;VGaA;Sharable attitude-oriented encoding;4478081765633457,9655811696159994;39;21;;485;979
2016;RL;Devolved explicit model;5244357431315552,9977073232858875;4;;Scottland;3;871
2014;JHaP;Mandatory uniform solution;6557680333178323;22;19;;575;735
2015;SI;Expanded cohesive array;5700469223617587;9;23;;169;485
2013;TG;Reduced intangible concept;9941630418391841,6467024971475515,1582807585616034;10;;Burtonstad;86;437
2013;H;Switchable fault-tolerant policy;1088342601060931,3998492042499790,6601376839046843;49;;East Theodore;288;396
2015;S;Virtual neutral structure;2348327453231091,6601376839046843;43;;Taylorview;165;969
2015;WL;Programmable dynamic methodology;6337438064578677,9075225650777316;29;40;;509;672
2015;W;Sharable dynamic Graphical User Interface;1088342601060931,5485081027172277,4744077090897343;36;;West Patricia;95;514
2013;RaS;User-friendly asymmetric migration;7412604949576097,3144341430664049;11;;Marvinshire;294;805
2013;BI;Seamless non-volatile hardware;3323705253115932;32;;New Linda;309;879
2016;H;Down-sized intangible standardization;1582807585616034,4073227496418805;39;;Philipfurt;786;851
2014;HBaF;Cloned didactic access;1135004726057093,9143802460662726;16;;Wandabury;480;507
2013;PMaH;Switchable executive process improvement;2922930725706889,1088342601060931;19;14;;323;752
2014;MI;Fundamental modular groupware;1376910945764891,5239942509087044,9770465873129031;49;;Port Ann;443;759
2015;BP;Triple-buffered homogeneous knowledge user;8021345340262535,4541272142642528,5954767672734150;30;12;;292;409
2014;MI;Digitized bi-directional model;9655811696159994,2618873884046651,7412604949576097;48;;South Matthewfurt;54;134
2015;VGaA;Cloned global groupware;6413140277984870,7159346387032080,4736383437295147;14;38;;92;581
2015;MI;Expanded tangible service-desk;9143802460662726,9407289539669638,2447378201037990;43;;Whitestad;203;868
2014;SI;Synergistic motivating portal;4671743840601591;41;27;;128;165
2014;H;Synchronized eco-centric workforce;6413140277984870;45;;North Jeffery;231;762
2016;MI;Phased 3rdgeneration system engine;1674773401625827,1750367399155058;1;;Davisfurt;11;397
2016;FI;Progressive radical application;1582807585616034,9611539741215920,8936625000762564;14;48;;44;192
2013;WL;Synergistic radical system engine;4993909389282629,6557680333178323;23;31;;268;382
2015;M;Organized stable hub;9129638715325223,9264876264363724,5954767672734150;2;41;;618;640
2015;RL;Upgradable system-worthy orchestration;7159346387032080,7882810928845952,2046442917813182;19;;Claytonburgh;404;994
2014;N;Right-sized dynamic solution;8021345340262535,8293148607193232,7159346387032080;10;;East Biancabury;299;810
2016;W;Universal methodical array;1674773401625827,5239942509087044;28;;Mirandaton;132;145
2013;RL;Virtual 5thgeneration encoding;4744077090897343,7043858660461973;19;;Carlosmouth;366;860
2015;HL;Open-architected zero administration encoding;5510528010958883,2046442917813182,1965133409445603;20;16;;620;645
2016;TG;Multi-lateral full-range website;7186917466536994;17;;Rubentown;616;640
2013;D;Secured cohesive throughput;8748367107449062,5485081027172277;45;40;;468;639
2015;NaS;Customer-focused holistic instruction set;9611539741215920;12;45;;520;612
2013;BG;Enhanced multi-state encryption;9979662463574292,5510528010958883,4478081765633457;37;46;;218;873
2015;RaS;Multi-layered national conglomeration;8021345340262535,5893293071812901,2487313480315695;2;;West Carl;142;668
2014;ZG;Open-source context-sensitive matrices;3144341430664049,8031405438641992;40;27;;366;572
2015;NL;Self-enabling methodical Graphical User Interface;3998492042499790,2503751282303117;49;;East Jennifer;616;734
2014;HL;Persevering transitional website;9655811696159994,9838454792036006;14;17;;318;711
2015;WRaP;Polarized analyzing orchestration;8031324513185618;21;;Barbaraside;107;312
2014;BI;Profit-focused non-volatile ability;8845454042159474,1088342601060931;21;;Thompsonborough;540;721
2014;T;Visionary cohesive structure;9821346348660847;33;37;;251;947
2013;LI;Proactive asynchronous concept;9655811696159994,9977073232858875;33;1;;557;996
2016;BI;De-engineered composite database;9264287531729077;8;;Alyssaside;720;789
2016;BP;User-centric analyzing intranet;4993909389282629;10;46;;574;759
2015;HP;Total clear-thinking projection;9407289539669638;42;38;;640;653
2013;MI;Stand-alone actuating definition;4541272142642528,4671743840601591,6601376839046843;25;;Claytontown;148;877
2015;MI;Devolved eco-centric solution;9722744349841064,7931231762362917;21;;New Jason;365;764
2016;Z;Ergonomic mission-critical extranet;6268449287730388,7159346387032080,2275799333779168;47;;Lake Angelachester;285;812
2015;CMaR;Function-based eco-centric Local Area Network;4478081765633457;37;;Lake Sharonfort;59;365
2013;AHaP;Multi-lateral real-time portal;9770465873129031;6;6;;384;865
2015;NaS;Intuitive hybrid architecture;9611539741215920,3235375320367048;18;10;;276;618
2013;MP;Reduced mission-critical help-desk;9770465873129031;44;46;;423;742
2015;CMaR;Exclusive logistical array;1750367399155058,9722744349841064;45;;Markton;159;717
2015;M;Synergized intermediate frame;9821346348660847,5893293071812901,8533292199274586;28;29;;142;203
2014;AHaM;Business-focused tangible solution;5893293071812901,2697688583917184,8748367107449062;9;41;;145;562
2015;ML;Versatile needs-based Graphical User Interface;8031324513185618,1674773401625827;37;31;;102;825
2014;SI;Versatile client-driven moderator;9357483591910432,9264287531729077;24;2;;203;488
2016;YI;Implemented even-keeled frame;5700469223617587;25;17;;457;567
2016;H;De-engineered neutral moderator;5954767672734150,9264876264363724,2904391767971119;46;;Danielmouth;331;498
2014;HP;Team-oriented eco-centric task-force;2487313480315695,3998492042499790;13;33;;167;642
2014;JHaP;Open-source heuristic workforce;2262346136725360,5485081027172277;13;36;;217;228
2016;JHaP;Face-to-face 3rdgeneration analyzer;9143802460662726;39;35;;307;523
2013;WL;Future-proofed stable contingency;6832903342497770,1135004726057093,2143271149416300;47;41;;68;961
2014;FI;Virtual reciprocal complexity;1088342601060931;7;3;;688;806
2015;G;Programmable maximized structure;4736383437295147,9770465873129031,9407289539669638;25;26;;726;782
2015;NaS;Robust multi-state contingency;2046442917813182,6337438064578677;2;42;;114;243
2013;HP;Seamless solution-oriented extranet;4541272142642528;31;3;;564;914
2016;LI;Cloned bifurcated analyzer;3323705253115932,5893293071812901,5510528010958883;27;28;;317;889
2014;N;Cross-group background workforce;5510528010958883;4;;Port Dawn;119;596
2015;JI;Pre-emptive systematic ability;6328867226130339;9;;Robertton;853;869
2014;PI;Business-focused optimal Internet solution;8533292199274586,2262346136725360;1;47;;251;972
2014;NL;Multi-lateral methodical firmware;4073227496418805,2262346136725360,2637674440233374;20;;South Jenniferton;85;711
2014;W;Up-sized well-modulated capacity;3227445512800622,1582807585616034,2262346136725360;9;;North Laura;28;322
2013;T;Enhanced responsive flexibility;5262540415992174,6832903342497770,7412604949576097;14;23;;701;792
2016;TG;Synergized disintermediate attitude;9477538211420820;28;;Amytown;949;961
2015;RaS;Total attitude-oriented neural-net;1750367399155058;6;;East Christopher;711;985
2015;T;Up-sized even-keeled Local Area Network;5239942509087044,9611539741215920,9264287531729077;44;27;;467;672
2015;J;Adaptive system-worthy interface;1965133409445603;33;;New Michelleport;592;840
2013;PI;Upgradable system-worthy productivity;6193227499902560,9838454792036006,2487313480315695;35;26;;332;642
2015;ZG;Exclusive solution-oriented frame;7532796691578058,8041631349517756;17;22;;613;946
2014;FSaG;Multi-channeled motivating portal;2637674440233374,1582807585616034;50;44;;715;890
2014;PI;Switchable real-time access;9977073232858875,1088342601060931;22;33;;102;976
2015;FI;Synchronized explicit conglomeration;2637674440233374,7412604949576097,8021345340262535;3;21;;354;935
2014;FI;Object-based intangible conglomeration;5244357431315552,9129638715325223;21;18;;430;908
2016;FSaG;Profound dedicated attitude;6413140277984870;30;18;;55;323
2014;PMaH;Front-line upward-trending throughput;6337438064578677,2447378201037990,6467024971475515;27;34;;674;827
2013;JHaP;Progressive context-sensitive parallelism;6557680333178323,2697688583917184,5262528182041271;27;7;;351;522
2015;ML;Virtual tertiary projection;9722744349841064,2637674440233374,9977073232858875;6;47;;41;941
2013;B;Seamless coherent analyzer;6832903342497770,6193227499902560;48;;East Terry;197;580
2013;J;Advanced motivating utilization;5262540415992174;48;;East Markview;396;630
2013;D;Virtual logistical installation;1674773401625827,1750367399155058,3144341430664049;33;11;;342;646
2015;M;Programmable coherent conglomeration;5262540415992174,2680213629710193,8293148607193232;21;25;;57;323
2015;HP;Self-enabling systematic middleware;7338126532305121,6193227499902560;48;15;;29;150
2015;N;Universal grid-enabled info-mediaries;9075225650777316,3227445512800622;28;;Jenniferfurt;785;796
2014;G;Multi-lateral object-oriented encryption;3235375320367048,9357483591910432,1376910945764891;31;36;;9;670
2014;F;Networked bottom-line neural-net;5239942509087044,4671743840601591;45;;Heatherchester;237;612
2015;SI;Managed optimizing customer loyalty;9606486478028672;32;19;;494;592
2013;W;Innovative responsive Internet solution;6337438064578677;49;;Garciafurt;888;908
2013;BG;Intuitive responsive Graphic Interface;9770465873129031,9979662463574292;4;30;;101;939
2016;NaS;Virtual uniform service-desk;1750367399155058;10;6;;67;637
2015;NaS;Adaptive needs-based encoding;4736383437295147,1088342601060931,9357483591910432;29;42;;355;741
2014;CMaR;Self-enabling fault-tolerant knowledgebase;4736383437295147;26;;North Amber;220;676
2014;HBaF;Function-based 3rdgeneration Internet solution;5954767672734150,2637674440233374,3227445512800622;33;;West Breanna;657;803
2016;BG;Balanced systematic process improvement;2922930725706889,3722297188543195,2046442917813182;30;47;;186;553
2013;JHaP;Profound disintermediate groupware;9821346348660847,8293148607193232;24;12;;103;942
2016;WRaP;Versatile executive migration;8533292199274586;16;;Johnsonshire;322;426
2016;F;Total stable process improvement;8533292199274586,2275799333779168;44;;Matthewchester;287;936
2014;PI;Fundamental bi-directional implementation;6467024971475515;9;16;;34;652
2014;FSaG;User-centric tertiary ability;5954767672734150,8293148607193232,1965133409445603;6;12;;416;682
2013;HBaF;Switchable incremental core;1965133409445603,5485081027172277,9770465873129031;6;;East Leslieport;393;910
2014;G;Configurable scalable website;5954767672734150;9;26;;374;577
2013;BI;Customer-focused solution-oriented approach;7338126532305121;11;;Garciamouth;85;109
2015;AaS;Profit-focused web-enabled emulation;3144341430664049,9606486478028672,6337438064578677;48;;Annahaven;758;811
2015;GVaR;Distributed global groupware;5893293071812901,7338126532305121,9477538211420820;35;5;;380;976
2015;W;Customer-focused national neural-net;6557680333178323,8936625000762564;44;;Johnville;311;478
2014;G;Cloned uniform Internet solution;6337438064578677,9655811696159994;23;44;;295;927
2015;M;Persevering high-level leverage;5239942509087044;1;6;;693;991
2014;JRaH;Public-key high-level attitude;6467024971475515,5649357631317748;16;;East Davidmouth;638;843
2015;P;Fully-configurable systemic task-force;1088342601060931;49;40;;105;302
2016;G;Upgradable attitude-oriented hierarchy;2143271149416300,5893293071812901,6301301076316618;23;24;;688;768
2013;HL;Streamlined leadingedge middleware;2922930725706889;35;28;;46;825
2015;HaS;Configurable context-sensitive structure;7159346387032080;32;31;;892;925
2016;VGaA;Multi-lateral systemic access;9129638715325223,2348327453231091,5239942509087044;4;34;;126;369
2015;AaS;Operative analyzing focus group;9129638715325223,2143271149416300;48;;Leeview;58;86
2015;T;Proactive client-driven support;7882810928845952;2;1;;198;316
2014;GVaR;User-friendly 3rdgeneration workforce;8293148607193232,3722297188543195;4;18;;803;964
2015;FSaG;Managed incremental application;6891679769008337;25;15;;138;981
2014;HBaF;Robust motivating toolset;4073227496418805,4541272142642528;15;;Lake Timothy;24;118
2015;HaS;Enterprise-wide non-volatile secured line;6832903342497770;23;13;;68;770
2013;YI;Profound asynchronous definition;5893293071812901,2275799333779168,6891679769008337;20;27;;192;654
2015;A;Total object-oriented info-mediaries;7683234841793745,2137128760644423;50;;Kimberlyside;224;612
2015;HP;Up-sized global solution;3323705253115932,2680213629710193,6328867226130339;35;26;;860;932
2016;B;Self-enabling context-sensitive portal;5244357431315552,4993909389282629,2046442917813182;5;;Robertsfort;548;929
2014;AHaP;Assimilated upward-trending open system;9977073232858875,9611539741215920,5262540415992174;19;27;;193;458
2013;AaS;Inverse regional firmware;1135004726057093,3235375320367048,4671743840601591;1;;Bakerside;246;910
2016;AHaP;Visionary grid-enabled encryption;1965133409445603,2487313480315695;30;41;;310;324
2016;LI;De-engineered hybrid protocol;6832903342497770,2275799333779168;45;10;;49;106
2013;W;Grass-roots demand-driven methodology;9357483591910432;8;;West William;90;383
2014;AHaP;Centralized 4thgeneration Internet solution;7532796691578058;5;27;;59;245
2016;F;Total web-enabled encoding;3227445512800622;33;;Reidside;686;797
2013;HL;Reverse-engineered bi-directional middleware;3722297188543195,9075225650777316,3144341430664049;13;14;;288;404
2015;P;Progressive systemic methodology;9977073232858875,6301301076316618,3144341430664049;20;29;;569;705
2015;MP;Realigned attitude-oriented leverage;5954767672734150,8533292199274586;13;16;;633;917
2016;ML;Pre-emptive tangible extranet;9606486478028672,5485081027172277,8293148607193232;36;37;;30;344
2013;ZG;Multi-lateral background structure;1674773401625827;13;28;;35;757
2015;N;Team-oriented high-level monitoring;6832903342497770,2618873884046651;28;;Sanchezview;622;958
2014;VGaA;Intuitive high-level emulation;4736383437295147,2618873884046651,2046442917813182;20;18;;767;892
2014;TG;Inverse user-facing approach;3235375320367048,6557680333178323,8021345340262535;5;;North Michael;457;526
2013;FSaG;Synchronized optimizing middleware;4671743840601591,9407289539669638;30;39;;395;433
2016;YI;Self-enabling maximized encryption;8748367107449062,2680213629710193;49;10;;326;753
2013;HL;Customizable regional analyzer;2275799333779168,1135004726057093,1674773401625827;13;47;;60;730
2014;A;Cross-group demand-driven middleware;9821346348660847,5244357431315552;33;;Lake Phillip;538;746
2013;BG;Reduced directional intranet;6832903342497770,8305208133103079,9129638715325223;13;42;;1;654
2014;HBaF;Adaptive optimizing forecast;9977073232858875,2447378201037990;13;;East Cynthiaville;249;986
2016;HKaT;Ergonomic coherent hub;3323705253115932,5485081027172277;25;;New Gregory;93;982
2016;HBaF;Cross-group dedicated capacity;3235375320367048,6193227499902560,4736383437295147;27;;Joneschester;128;370
2013;FI;Intuitive transitional conglomeration;5244357431315552;4;24;;95;305
2014;JRaH;Face-to-face tangible software;7186917466536994,9264876264363724,8293148607193232;37;;East Jonathanland;578;846
2014;PMaH;Pre-emptive bandwidth-monitored hierarchy;6601376839046843,5649357631317748;42;37;;365;606
2015;JRaH;Monitored regional utilization;5262540415992174,7882810928845952;36;;Aliciaburgh;798;929
2014;JHaP;Polarized bottom-line monitoring;3323705253115932;8;42;;473;569
2013;W;Realigned holistic forecast;3144341430664049,3227445512800622,4736383437295147;38;;Michaelmouth;101;544
2016;PMaH;Devolved heuristic Local Area Network;9407289539669638;21;42;;4;807
2014;JRaH;Inverse context-sensitive encryption;2046442917813182;37;;Meghanberg;296;688
2015;BG;Business-focused object-oriented open architecture;6337438064578677,5954767672734150;34;4;;4;303
2014;PMaH;Profit-focused 4thgeneration website;8041631349517756,9477538211420820,7089503135500102;43;40;;179;528
2016;AHaM;Object-based grid-enabled emulation;2618873884046651,3227445512800622,6301301076316618;50;43;;121;155
2015;NL;Programmable national Internet solution;7043858660461973,9143802460662726,2637674440233374;24;;East Matthewmouth;465;580
2013;SI;Versatile uniform adapter;8748367107449062;45;37;;812;984
2015;BG;Digitized high-level time-frame;9655811696159994;50;23;;419;559
2016;RL;Horizontal cohesive portal;9838454792036006,4541272142642528;48;;Williamsfort;574;724
2016;BI;Phased maximized time-frame;3998492042499790;9;;Michaelfurt;354;749
2014;G;Programmable zero administration workforce;2697688583917184,8305208133103079,1376910945764891;6;41;;202;949
2014;AaS;Synchronized explicit support;8031324513185618;37;;Deleonburgh;107;972
2013;AaS;Focused 4thgeneration initiative;9821346348660847;29;;Tonyamouth;238;762
2013;RL;Optimized optimizing challenge;2680213629710193,3998492042499790;23;;Murphyside;199;752
2016;B;Mandatory background functionalities;5244357431315552;50;;Lake Seanhaven;106;557
2014;BWaH;Balanced national secured line;2629063971493209,4073227496418805,9655811696159994;38;;Lake Ashley;397;751
2015;HL;Focused actuating open system;7186917466536994,2637674440233374;14;49;;60;244
2013;W;Operative homogeneous model;5262528182041271,2046442917813182;29;;Manuelchester;245;384
2015;AaS;Operative interactive orchestration;2637674440233374;12;;Port Jean;9;586
2014;WRaP;Optimized bottom-line analyzer;2629063971493209;45;;East Jasonfort;34;857
2014;HP;Centralized secondary benchmark;8305208133103079;2;21;;176;841
2013;AHaM;Upgradable intangible Internet solution;5893293071812901,7186917466536994;13;34;;440;933
2015;B;User-centric maximized alliance;1582807585616034,2680213629710193,9357483591910432;34;;South Sarah;375;417
2014;RL;Ergonomic uniform model;5485081027172277,6832903342497770;13;;Port Kathleen;88;334
2015;HaS;Open-architected eco-centric budgetary management;7089503135500102,6891679769008337;17;3;;643;724
2015;AHaP;Persistent tangible portal;9129638715325223,6467024971475515;31;4;;41;186
2015;ZG;Cloned attitude-oriented migration;2503751282303117,4073227496418805;1;4;;59;790
2015;ZG;Up-sized fresh-thinking collaboration;8305208133103079,1582807585616034;12;27;;150;721
2013;FI;Versatile dynamic function;8845454042159474,4993909389282629;25;43;;665;985
2013;VGaA;Future-proofed asynchronous success;5510528010958883,7338126532305121,5485081027172277;27;41;;577;643
2014;BI;Versatile client-server matrix;4541272142642528,2137128760644423;43;;South Amymouth;224;465
2013;MI;Managed human-resource frame;9264876264363724,9143802460662726,9977073232858875;23;;Lisaland;208;456
2016;HL;Managed upward-trending application;2348327453231091;37;7;;58;464
2013;P;Triple-buffered zero tolerance focus group;2697688583917184,9821346348660847,7043858660461973;8;12;;68;316
2013;A;Ameliorated human-resource concept;3722297188543195;41;;North Lisatown;563;673
2015;JHaP;Upgradable value-added algorithm;2629063971493209,4541272142642528,6268449287730388;1;38;;649;962
2013;JRaH;Innovative directional structure;2143271149416300;36;;Phillipfurt;632;760
2016;SI;Universal solution-oriented portal;4736383437295147;42;13;;271;328
2015;WRaP;Balanced asynchronous function;4736383437295147,7159346387032080,2697688583917184;36;;West Amanda;287;663
2016;HP;Persistent global infrastructure;9264287531729077;6;25;;400;904
2015;T;Switchable static extranet;1088342601060931,2348327453231091;14;43;;763;862
2014;BWaH;Vision-oriented directional paradigm;8845454042159474;32;;Browntown;133;560
2016;HP;Synchronized systematic framework;9129638715325223,9477538211420820,6328867226130339;5;35;;280;809
2016;F;Organized 3rdgeneration process improvement;2618873884046651,5954767672734150,6268449287730388;23;;Juliatown;174;414
2016;CMaR;Visionary methodical functionalities;9979662463574292;1;;Lake Karenland;250;602
2013;AHaM;Reduced static implementation;1088342601060931,2143271149416300,5262528182041271;11;33;;38;531
2013;N;Ergonomic disintermediate intranet;7882810928845952,4993909389282629;21;;East Lisaburgh;402;816
2015;B;Implemented 24hour moderator;3227445512800622,9611539741215920,5262528182041271;17;;Dylanchester;21;702
2015;P;Proactive context-sensitive ability;3144341430664049,4073227496418805;44;29;;540;918
2016;G;Reactive demand-driven software;7532796691578058,6467024971475515,9606486478028672;46;26;;165;936
2014;D;Robust executive ability;1750367399155058,2629063971493209;1;3;;120;757
2015;A;Fundamental disintermediate Internet solution;9977073232858875,8293148607193232;3;;Medinamouth;799;914
2014;PI;Decentralized actuating frame;2487313480315695,7532796691578058;13;9;;15;21
2014;HBaF;Profit-focused even-keeled core;1638745937944369,6891679769008337;45;;Wardmouth;49;802
2014;WRaP;Profound hybrid artificial intelligence;1088342601060931,7338126532305121;39;;East Jefferyshire;87;552
2015;AHaP;Exclusive bi-directional system engine;9075225650777316;38;34;;131;973
2015;TG;Multi-layered eco-centric matrices;2348327453231091,5244357431315552;5;;Michellefurt;32;220
2016;BWaH;Digitized multimedia toolset;9770465873129031,6193227499902560;5;;North Justin;183;919
2015;NaS;Multi-channeled transitional infrastructure;3998492042499790,5485081027172277;25;1;;655;816
2013;T;Fully-configurable coherent circuit;6467024971475515,9979662463574292,5893293071812901;10;31;;354;757
2016;W;Face-to-face zero tolerance artificial intelligence;2348327453231091,9977073232858875,7412604949576097;12;;Davidfurt;329;643
2016;RaS;Profit-focused empowering migration;8533292199274586,9722744349841064;4;;South James;124;925
2014;BWaH;Distributed directional open system;9722744349841064,4744077090897343,2904391767971119;49;;South Jacquelineshire;416;839
2014;H;Down-sized context-sensitive focus group;3998492042499790,2354218094325113,5954767672734150;30;;Sharpfurt;645;958
2016;NaS;Synergized fault-tolerant infrastructure;2354218094325113,6557680333178323,2262346136725360;50;5;;2;991
2016;TG;Open-source directional challenge;5327108447296812,8031324513185618,8533292199274586;33;;Haydenmouth;814;840
2016;N;Upgradable exuding artificial intelligence;9770465873129031;47;;South Christopher;120;452
2014;H;Versatile background algorithm;5239942509087044;21;;East Briannamouth;321;505
2015;AHaM;Enterprise-wide explicit concept;9770465873129031,2447378201037990,5510528010958883;41;2;;697;841
2015;BWaH;Pre-emptive static throughput;7338126532305121;31;;Brandonton;376;515
2013;Z;Switchable user-facing migration;8041631349517756;10;;Matthewview;216;815
2016;PI;Organized multi-state synergy;3235375320367048,4073227496418805,2354218094325113;48;45;;121;525
2015;WRaP;Self-enabling multimedia conglomeration;8748367107449062;31;;Dayside;162;720
2016;JRaH;Multi-tiered foreground policy;2618873884046651,9655811696159994;10;;North Mariastad;520;984
2014;G;Multi-layered secondary task-force;4744077090897343;26;45;;566;689
2013;MI;Cross-group 5thgeneration function;9264876264363724,3722297188543195;45;;Hornfurt;43;400
2013;SI;Face-to-face object-oriented function;8031324513185618,9611539741215920;32;6;;265;799
2013;MP;Business-focused leadingedge capability;2503751282303117;1;4;;195;711
2014;HBaF;Proactive multimedia productivity;2637674440233374,4478081765633457;32;;Lake Marcus;155;790
2014;JHaP;Vision-oriented regional methodology;4993909389282629,3227445512800622;26;36;;56;310
2016;ZG;Customizable grid-enabled circuit;2618873884046651;30;48;;446;731
2014;HL;Centralized global array;2629063971493209;20;35;;376;758
2015;WL;Robust asymmetric data-warehouse;6832903342497770,5510528010958883;20;1;;9;187
2015;PI;Reactive system-worthy methodology;2137128760644423;2;2;;110;466
2016;HKaT;Optimized fresh-thinking encryption;2447378201037990,9407289539669638;13;;Hayesfurt;384;1000
2016;N;Open-architected national Graphical User Interface;7338126532305121;13;;Timothyfort;487;800
2015;FI;Realigned explicit complexity;2348327453231091;9;10;;671;867
2015;ML;Implemented impactful definition;9357483591910432,2262346136725360,3998492042499790;39;24;;41;929
2016;H;Adaptive mission-critical conglomeration;8533292199274586,9606486478028672,6413140277984870;45;;South Shawn;206;898
2015;AHaM;Multi-lateral motivating archive;5954767672734150;38;4;;273;853
2013;ZG;Self-enabling upward-trending archive;5239942509087044,4073227496418805,2354218094325113;21;47;;718;766
2015;S;Cross-platform neutral collaboration;4744077090897343,2046442917813182,5510528010958883;9;;East Caitlynstad;567;928
